month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-01-01,1,Portable Computers,14405251072.0,3182482944.0
2025-02-01,1,Portable Computers,11058939904.0,3309811456.0
2025-03-01,1,Portable Computers,14058317824.0,3301032192.0
2025-04-01,1,Portable Computers,10095037440.0,2885770752.0
2025-05-01,1,Portable Computers,13618578432.0,3466467584.0
2025-06-01,1,Portable Computers,13154662400.0,3188549120.0
2025-07-01,1,Portable Computers,13502133248.0,3227665664.0
2025-08-01,1,Portable Computers,13194741760.0,3348857600.0
2025-09-01,1,Portable Computers,11931823104.0,2960217088.0
2025-10-01,1,Portable Computers,12372856832.0,3001114880.0
2025-11-01,1,Portable Computers,13457805312.0,3184558592.0
2025-12-01,1,Portable Computers,11126452224.0,2770206720.0
2025-01-01,2,Cooling Systems,5626858496.0,434099552.0
2025-02-01,2,Cooling Systems,6165446656.0,491344288.0
2025-03-01,2,Cooling Systems,5921851904.0,600979520.0
2025-04-01,2,Cooling Systems,6114827776.0,619777152.0
2025-05-01,2,Cooling Systems,6708636160.0,637886592.0
2025-06-01,2,Cooling Systems,6419181568.0,604889152.0
2025-07-01,2,Cooling Systems,5858607616.0,585603456.0
2025-08-01,2,Cooling Systems,5634369024.0,612312576.0
2025-09-01,2,Cooling Systems,6223988224.0,564100928.0
2025-10-01,2,Cooling Systems,5779867136.0,586363648.0
2025-11-01,2,Cooling Systems,6029434880.0,603131264.0
2025-12-01,2,Cooling Systems,6724760064.0,538327808.0
2025-01-01,3,Frozen Storage Units,1698619136.0,150151904.0
2025-02-01,3,Frozen Storage Units,1599559552.0,148833408.0
2025-03-01,3,Frozen Storage Units,1740833024.0,153459664.0
2025-04-01,3,Frozen Storage Units,1640497664.0,150945104.0
2025-05-01,3,Frozen Storage Units,1846546944.0,160721936.0
2025-06-01,3,Frozen Storage Units,1695828736.0,165956272.0
2025-07-01,3,Frozen Storage Units,1659421056.0,168219968.0
2025-08-01,3,Frozen Storage Units,1478884864.0,168805328.0
2025-09-01,3,Frozen Storage Units,1444278656.0,164649168.0
2025-10-01,3,Frozen Storage Units,1386479104.0,142227984.0
2025-11-01,3,Frozen Storage Units,1471842816.0,134969856.0
2025-12-01,3,Frozen Storage Units,1425779328.0,137456304.0
2025-01-01,4,Laundry Machines,5797273088.0,531786176.0
2025-02-01,4,Laundry Machines,6425532928.0,556318144.0
2025-03-01,4,Laundry Machines,7159113216.0,611410432.0
2025-04-01,4,Laundry Machines,7454338048.0,534886976.0
2025-05-01,4,Laundry Machines,7990732800.0,603890048.0
2025-06-01,4,Laundry Machines,7116334080.0,586772544.0
2025-07-01,4,Laundry Machines,6985287680.0,504372224.0
2025-08-01,4,Laundry Machines,7060707328.0,549877760.0
2025-09-01,4,Laundry Machines,6610728448.0,609596864.0
2025-10-01,4,Laundry Machines,7044123648.0,507702112.0
